name,location,description,rating,url,wikiUrl,
Grand Hyatt Amman,"Amman
","Conveniently located in the heart of the business and diplomatic district of Jabal Amman, this 5-star hotel offers luxurious rooms with satellite TV.",8.2,https://www.booking.com/hotel/jo/grand-hyatt-amman-amman-po-box-831159.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=22&hpos=22&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Holiday Inn Amman,"Amman
","Sitting comfortably on the corner of Amman’s most spirited streets, is the high- rise Holiday Inn Amman.",8.1,https://www.booking.com/hotel/jo/holiday-inn-amman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=23&hpos=23&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Sydney Hotel,"Amman
","Located in downtown Amman, Sydney Hotel provides direct access to Jabal al-Qal'a and is a 5-minute drive from Rainbow Street.",8.8,https://www.booking.com/hotel/jo/sydney.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=24&hpos=24&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
The Boutique Hotel Amman,"Amman
","Centrally located in downtown Amman only a 10-minute walk from the Roman Amphitheater, the Boutique Hotel offers simply furnished rooms. Free Wi-Fi is available in all areas.",8.7,https://www.booking.com/hotel/jo/the-boutique.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=25&hpos=25&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Zaman Ya Zaman Boutique Hotel,"Amman
","Featuring free WiFi, Zaman Ya Zaman Boutique Hotel offers accommodations in Downtown Amman. The hotel has a sun terrace and views of the Roman Theater and guests can enjoy a meal at the dining area.",8,https://www.booking.com/hotel/jo/zaman-ya-zaman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=26&hpos=26&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Amman Pasha Hotel,"Amman
",Amman Pasha Hotel is located right in the heart of downtown Amman. Its directly adjacent to the Roman Amphitheater and right next to the Amman Citadel (Jabal al-Qal'a) The Citadel and Rainbow Street...,8,https://www.booking.com/hotel/jo/amman-pasha.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=27&hpos=27&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Jordan River Hotel,"Amman
","Jordan River Hotel is located in downtown Amman, a 10-minute walk from the Roman Theater. Free Wi-Fi access is available. Rooms here will provide you with a satellite TV and air conditioning.",7.8,https://www.booking.com/hotel/jo/jordan-river.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=28&hpos=28&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Gallery Guest House,"Amman
","Featuring a terrace and a shared lounge, Gallery Guest House is located in Amman, 1.3 miles from Hashem Restaurant and 1.5 miles from Rainbow Street.",8.9,https://www.booking.com/hotel/jo/gallery-amman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=29&hpos=29&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Hamoudah Hotel,"Amman
","Located in downtown Amman, Hamoudah Hotel offers rooms with free Wi-Fi and a private bathroom. The Amman Citadel and the Roman Theater are only a 5-minute walk away.",7.1,https://www.booking.com/hotel/jo/hamoudah.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=30&hpos=30&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Nobel Hotel,"Amman
","Located in central Amman, Nobel Hotel is near the Central Bank of Jordan. It offers simply decorated rooms with free WiFi. The hotel offers a tour desk that arranges local excursions.",7.3,https://www.booking.com/hotel/jo/nobel.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=31&hpos=31&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
